*͡R
i͡ʊ
iˀ
iː
iˠ
iˤ
iˤː
ĩ
ĩ͡ə
ĩː
ĭ
i̘
i̙
i̙ː
i̞
i̞ː
i̤
i̤͡a̤
i̤͡ṳ
i̤͡ə̤
i̤͡ɛ̤
i̤ː
i̥
ḭ
ḭ̃
i͓
j
j͡a
j͡ai̯
j͡au̯
j͡e
j͡eu̯
j͡o
j͡u
j͡ɛ
jʰ
jʷ
jˀ
jː
jˤ
j̃
j̥
j̰
k
k͡f
k͡p
k͡pm
k͡pʰ
k͡pʲ
k͡pʷ
k͡pː
k͡pˤ
k͡x
k͡xʰ
k͡xʷ
k͡xʼː
k͡xː
kŋ
kǀ
kǀʰ
kǀʰʷ
kǀʷ
kǀ̪
kǀ͓
kǀ͓x
kǀ͓ʰ
kǀ͓ˀ
kǁ
kǁ͓
kǁ͓ʰ
kǁ͓ˀ
kǂ
kǂx
kǂʰ
kǂ͓ˡ
kǂ͓ˡx
kǂ͓ˡʰ
kǃ
kǃx
kǃʰ
kǃ̠
kǃ̠ʰ
kǃ̠ˀ
kǃ̪
k͡ɬ
k͡ʟ̥͓ʼ
kʰ
kʰʲ
kʰʷ
kʰː
kʲ
kʲʰ
kʲʼ
kʷ
kʷʰ
kʷʰː
kʷʼ
kʷʼː
kʷˀ
kʷː
kʼ
kʼʲ
kʼʷ
kʼː
kˀ
kː
kːʷ
kˤ
k̃
k̃ʷ
k̟
k̟ʰ
k̟ʲʰ
k̟ʲʼ
k̰
k̰ʷ
k̻
k͈
k͈ʷ
k͈ː
k͉
k͉ʷ
l
l͡d
l͡ɦ
l͡ʔ
lʰ
lʲ
lʷ
lʼ
lː
lˠ
lˤ
lˤː
l̃
l̠
l̠̤
l̤
l̥
l̥ʲ
l̥ˠ
l̩
l̪
l̪ʲ
l̪ː
l̪ˠ
l̪ˤ
l̪̤
l̪̥
l̪̩
l̪̰
l̰
l̻
l̻ː
l̻̰
l͈ː
l͉
lᶣ
m
m͡b
m͡bʲ
m͡bʷ
m͡p
m͡pʰ
m͡pʲ
m͡ɦ
mʰ
mʲ
mʷ
mʷː
mʷˠ
mʼ
mˀ
mː
mːʷˠ
mˠ
mˤ
mˤː
m̃ʷ
m̤
m̥
m̥ʷ
m̩
m̰
m͈ː
m͉
n
n͡d
n͡dr
n͡dz
n͡dʑ
n͡dʲ
n͡dʷ
n͡d̪
n͡h
n͡l
n͡r
n͡s
n͡sʷ
n͡t
n͡ts
n͡tʰ
n͡tʷ
n͡z
n͡zʷ
n͡ɟ
n͡ɡ
n͡ɦ
nʰ
nʲ
nʷ
nʼ
nˀ
nː
nˠ
n̠
n̠͡d̠
n̠͡d̠ʒ
n̠͡d̠ʒʷ
n̠͡t̠
n̠͡t̠ʃ
n̠͡t̠ʃʰ
n̠͡ʃ
n̠͡ʃʷ
n̠͡ʒ
n̠̤
n̠̥
n̠̥͡t̠ʃ
n̤
n̥
n̥͡ʃ
n̥ʲ
n̥ˠ
n̩
n̪
n̪͡d̪
n̪͡d̪z̪
n̪͡d̪ʲ
n̪͡d̪ʷ
n̪͡s̪
n̪͡t̪
n̪͡t̪s̪
n̪͡t̪s̪ʰ
n̪͡t̪ʰ
n̪͡z̪
n̪ʲ
n̪ʷ
n̪ː
n̪̤
n̪̥
n̪̰
n̰
n̺
n̻
n̻ʲ
n̻ː
n͈ː
n͉
o
o͡a
o͡e
o͡i
o͡i̯
o͡j
o͡u
o͡ũ
o͡u̙
o͡u̯
o͡w
o͡ɛ
o͡ɪ
o͡ʊ
oˀ
oː
oːu
o˞
õ
õ͡ũ
õː
ŏ
ŏ̃
ö
o̘
o̘ː
o̙
o̝
o̞
o̞͡a
o̞͡aˤ
o̞͡e̞
o̞͡i
o̞͡iˤ
o̞͡u
o̞ː
o̞ˤ
o̞ˤː
õ̞
õ̞͡ã
õ̞͡ãˤ
õ̞͡ĩ
õ̞͡ĩˤ
õ̞ː
õ̞ˤ
o̞̟
o̞̥
o̞̰
õ̞̰
o̤
o̤͡i̤
o̤ː
o̯
o̰
õ̰
p
p͡f
p͡fʰ
p͡fʼ
p͡m
p͡ʃʰ
p͡ʃʼ
pʰ
pʰʷ
pʰː
pʲ
pʲʰ
pʷ
pʷˠ
pʷˠʰ
pʼ
pʼː
pˀ
pː
pːʷˠ
pˤ
p̃
p̰
p̻
p͈
p͈ː
p͉
p͉ʲ
q
qʰ
qʷ
qʷʰ
qʷʼ
qʷˀ
qʷˤʰ
qʷˤʼ
qʼ
qʼʷ
qˀ
qː
qˤʰ
qˤʼ
q̰
q̰ʷ
q͈
q͈ʷ
q͡χ
q͡χʷ
q͡χʷʼ
q͡χʷˤ
q͡χʷˤʼ
q͡χʼ
q͡χʼː
q͡χː
q͡χˤ
q͡χˤʼ
q͡χˤː
r
rʰ
rʲ
rʷ
rː
rˠ
rˤ
rˤː
r̃
r̝
r̠
r̠̙
r̥
r̩
r̪
r̪ʲ
r̪ˠ
r̪ˤ
r̰
r̺
r͈ː
s
s͡t
sʰ
sʲ
sʷ
sʷː
sʼ
sʼː
sˀ
sː
sˠ
sˤ
sˤː
s̪
s̪ʲ
s̪ʷ
s̪ʷː
s̪ʼ
s̪ː
s̪ˤ
s̰
s̺
s̻
s̻ː
s̻͡θ
s͈
s͈ː
s͉
sᶣ
t
t͡ç
t͡çʰ
t͡l
t͡n
t͡r
t͡s
t͡sʰ
t͡sʰʷ
t͡sʰː
t͡sʲ
t͡sʷ
t͡sʷʰ
t͡sʷʼ
t͡sʼ
t͡sʼː
t͡sˀ
t͡sː
t͡sˠ
t͡s̪
t͡s̰
t͡s͇
t͡s͇ʰ
t͡x
t͡z̤̥
t͡ɕ
t͡ɕʰ
t͡ɕᶣ
t͡ɬ
t͡ɬʰ
t͡ɬʷʰ
t͡ɬʷʼ
t͡ɬʼ
t͡ɬʼː
t͡ɬˀ
t͡ɬː
t͡ɬ̰
t͡ʃ
tʰ
tʰʲ
tʰʷ
tʲ
tʲʰ
tʲʼ
tʷ
tʷʰ
tʼ
tʼː
tˀ
tː
tːs
tˠ
tˤ
tˤː
t̃
t̠
t̠͡ʃ
t̠͡ʃʰ
t̠͡ʃʰː
t̠͡ʃʲ
t̠͡ʃʲʰ
t̠͡ʃʷ
t̠͡ʃʷʰ
t̠͡ʃʷʼ
t̠͡ʃʼ
t̠͡ʃʼː
t̠͡ʃˀ
t̠͡ʃː
t̠͡ʃˠ
t̠͡ʃ̰
t̠͡ʃ̺ʰ
t̠͡ʃ͉
t̠ːʃ
t̠͈͡ʃ
t̠͈͡ʃʷ
t̠͈͡ʃː
t̪
t̪͡n̪
t̪͡s
t̪͡s̪
t̪͡s̪ʰ
t̪͡s̪ʲ
t̪͡s̪ʷʰ
t̪͡s̪ʷʼ
t̪͡s̪ʼ
t̪͡s̪ʼː
t̪͡s̪ˀ
t̪͡s̪ː
t̪͡ɬ̪
t̪͡ɬ̪ʰ
t̪͡ɬ̪ʷʰ
t̪͡ɬ̪ʷʼ
t̪͡ɬ̪ʼ
t̪͡ɬ̪ʼː
t̪͡ɬ̪ˀ
t̪͡ɬ̪ː
t̪ʰ
t̪ʰː
t̪ʲ
t̪ʲʰ
t̪ʷ
t̪ʷʰ
t̪ʼ
t̪ˀ
t̪ː
t̪ˤ
t̪͡θ
t̪͡θʰ
t̪͡θʼ
t̰
t̰͡s̰
t̺
t̺͡s̺
t̻
t̻͡n̻
t̻͡s̻
t̻͡s̻ʰ
t̻͡s̻ʼ
t̻ʰ
t̻ʰː
t̻ʲ
t̻ʼ
t̻ː
t͈
t͈͡s
t͈͡sʷ
t͈ː
t͉
t͉͡s
t͉ʲ
u
u͡a
u͡ai
u͡aː
u͡e
u͡ei
u͡ẽ
u͡i
u͡i̯
u͡j
u͡o
u͡ɔ
u͡ə
u͡ɛ
u͡ɨ
u͡ɪ
uˀ
uː
uˤ
uˤː
ũ
ũ͡ĩ
ũ͡ə
ũː
ŭ
ŭ̃
ü
u̘
u̙
u̞
u̞ː
ṳ
ṳ͡a̤
ṳ͡i̤
ṳ͡ə̤
ṳː
u̥
ṵ
ṵ̃
u͓
v
vʰ
vʲ
vʷ
vː
ṽ
v̤
v̩
w
w͡a
w͡ai̯
w͡e
w͡ei̯
w͡i
w͡o
w͡ə
wʰ
wʲ
wʷ
wˀ
wː
wˠ
wˤ
w̃
ẅ
w̞
w̥
w̰
x
x͡h
xʷ
xʷʼ
xʼ
xː
x̟ʲ
x̥
x͈
x͈ʷ
x͈ː
y
y͡e
yː
ỹ
y̆
z
zʲ
zʷ
zː
zˠ
zˤ
zˤː
z̃
z̞̩
z̞̩ˠ
z̞̩̃ˠ
z̥
z̩
z̪
z̪ʷ
z̪ː
z̪ˤ
z̻
z͇
z͇̪
z͈ː
æ
æe
æe̯
æẽ̯
æi
æu
æɪ
æː
æˤ
æ̃
æ̃ː
æ̤
æ̤ː
ð
ðˠ
ðˤ
ð̞
ð͉
ø
øː
ø̞
ø̞ː
ø̞ˤ
ø̠
ħ
ħʷ
ħː
ħ͈ː
ŋ
ŋb
ŋk
ŋkʰ
ŋkʲ
ŋkʷ
ŋm
ŋmkp
ŋmɡb
ŋmʲ
ŋmˤ
ŋǀ͓
ŋǁ͓
ŋǂ
ŋǂ͓ˡ
ŋǃ
ŋǃ̠
ŋɡ
ŋɡmb
ŋɡʲ
ŋɡʷ
ŋɡ̟
ŋɣ
ŋʲ
ŋʷ
ŋˀ
ŋː
ŋːʷ
ŋˑ
ŋˤ
ŋ̤
ŋ̤ǀ͓
ŋ̤ǂ
ŋ̤ǂ͓ˡ
ŋ̤ǃ
ŋ̥
ŋ̥ǀ͓xˀ
ŋ̥ǀ͓ʰ
ŋ̥ǀ͓ˀ
ŋ̥ǁ͓ˀ
ŋ̥ǂxˀ
ŋ̥ǂʰ
ŋ̥ǂˀ
ŋ̥ǂ͓ˡxˀ
ŋ̥ǂ͓ˡʰ
ŋ̥ǂ͓ˡˀ
ŋ̥ǃ
ŋ̥ǃˀ
ŋ̥ǃˠˀ
ŋ̥ǃ̠ˀ
ŋ̥ʲ
ŋ̥ʷ
ŋ̩
ŋ̩ʷ
ŋ̰
œ
œy
œː
œ̃
ɐ
ɐ͡i
ɐ͡u
ɐː
ɐˤ
ɐ̃
ɐ̆
ɐ̹̆
ɑ
ɑ͡e
ɑ͡i
ɑ͡o
ɑ͡u
ɑ͡ʊ
ɑː
ɑ̃
ɑ̃͡ĩ
ɑ̃͡õ
ɑ̃ː
ɒ
ɒː
ɒ̃
ɒ̃ː
ɒ̤
ɓ
ɓʲ
ɓː
ɓ̥
ɔ
ɔ͡i
ɔ͡o̯
ɔ͡õ̯
ɔ͡u
ɔ͡ə
ɔ͡ɛ
ɔ͡ɪ
ɔː
ɔˤ
ɔ̃
ɔ̃͡ĩ
ɔ̃ː
ɔ̃ˤː
ɔ̆
ɔ̘ː
ɔ̙
ɔ̙ː
ɔ̝
ɔ̝ː
ɔ̤
ɔ̤͡i̤
ɔ̤ː
ɔ̯
ɔ̰
ɕ
ɕʼ
ɕᶣ
ɖ
ɖ͡r̠
ɖ͡ɦ
ɖ͡ʐ
ɖʰ
ɖː
ɖ̤
ɖ̤ː
ɖⁿ
ɗ
ɗ͡ʒ
ɗʰ
ɗʲ
ɗː
ɗ̠
ɗ̥
ɗ̪
ɘ
ɘː
ɘ̃
ə
ə͡i
ə͡u
ə͡ɨ̙
ə͡ɯ
əː
ə˞
ə̃
ə̃ː
ə̆
ə̘ː
ə̟
ə̯
ə̰
ə̰̃
ɛ
ɛ͡i
ɛ͡j
ɛ͡u
ɛ͡w
ɛ͡ə
ɛ͡ɪ
ɛ͡ɯ
ɛ͡ʊ
ɛː
ɛ̃
ɛ̃͡ə
ɛ̃ː
ɛ̆
ɛ̆̃
ɛ̘ː
ɛ̙
ɛ̙ː
ɛ̙ˠ
ɛ̝
ɛ̝ː
ɛ̤
ɛ̤ː
ɛ̯
ɛ̰
ɛ̰̃
ɜ
ɜ͡ɪ̯
ɜː
ɜ̃
ɞ
ɟ
ɟ͡ɦ
ɟ͡ʑ
ɟ͡ʝ
ɟ͡ʝː
ɟʰ
ɟʲ
ɟʷ
ɟː
ɟ̩̰
ɟ̰
ɠ
ɠ͡ɓ
ɡ
ɡ͡b
ɡ͡bm
ɡ͡bʲ
ɡ͡bʷ
ɡ͡bː
ɡ͡bˤ
ɡ͡b̩
ɡ͡v
ɡǀ
ɡǀ͓
ɡǀ͓x
ɡǁ͓
ɡǂ
ɡǂx
ɡǂ͓ˡ
ɡǂ͓ˡx
ɡǃ
ɡǃx
ɡǃ̠
ɡ͡ɣ
ɡ͡ɦ
ɡʰ
ɡʲ
ɡʷ
ɡʼ
ɡː
ɡˡ
ɡ̃
ɡ̟
ɡ̟ʲ
ɡ̤
ɡ̤ǀ͓
ɡ̤ǂ
ɡ̤ǂ͓ˡ
ɡ̤ǃ
ɡ̤ʷ
ɡ̤ː
ɡ̤̥
ɡ̩
ɡ̩ʷ
ɡ̰
ɡ̰ǀ͓x
ɡ̰ǂx
ɡ̰ǂ͓ˡx
ɡ̰ǃx
ɡ͈ː
ɡᶾ
ɡⁿ
ɢ
ɢʷ
ɢʷˤ
ɢː
ɢˤ
ɣ
ɣ͡v
ɣʲ
ɣʷ
ɣː
ɣ̟ʲ
ɣ̥
ɣ̩
ɣ̰
ɣ͈ː
ɤ
ɤ͡i
ɤː
ɤ̃
ɤ̞
ɤ̞ː
ɤ̞̃
ɤ̞̟̃
ɤ̤
ɤ̤͡i̤
ɤ̯
ɥ
ɥ̥
ɦ
ɧ
ɨ
ɨ͡a
ɨ͡i
ɨ͡ə
ɨː
ɨ˞
ɨ̃
ɨ̃͡ĩ
ɨ̃ː
ɨ̆
ɨ̞
ɨ̞̃
ɨ̥
ɪ
ɪ͡a
ɪ͡ã
ɪ͡i
ɪ͡ɛ
ɪ͡ʌ
ɪː
ɪˤ
ɪ̃
ɪ̃ː
ɪ̆
ɪ̈
ɪ̈ː
ɪ̙
ɪ̙ː
ɪ̙ˠ
ɪ̠
ɪ̯
ɫ
ɬ
ɬ͡ʟ̥͓
ɬʲ
ɬʲʼ
ɬʷ
ɬʷː
ɬʼ
ɬː
ɬ̪
ɬ̪ʲ
ɬ̪ʷ
ɬ̪ʷː
ɬ̪ʼ
ɬ̪ː
ɬ̻
ɭ
ɭː
ɭ̩
ɭ͓
ɮ
ɮʲ
ɮ̪
ɯ
ɯ͡a
ɯ͡i
ɯ͡ə
ɯː
ɯ̃
ɯ̃͡ə
ɯ̃ː
ɯ̆
ɯ̞
ɯ̞̆
ɯ̞̯
ɯ̤
ɯ̤͡i̤
ɯ̤͡ə̤
ɯ̰
ɯ͓
ɰ
ɰ̰
ɱ
ɱ͡f
ɱ͡fʷ
ɱ͡v
ɱ̥͡f
ɲ
ɲ͡c
ɲ͡cɕ
ɲ͡cʲ
ɲ͡dʑ
ɲ͡j
ɲ͡ɟ
ɲ͡ɟʑ
ɲ͡ɟʝ
ɲ͡ʄ
ɲ͡ʒ
ɲʰ
ɲʷ
ɲʼ
ɲː
ɲ̟
ɲ̟͡ʝ̟
ɲ̥
ɲ̩
ɲ̰
ɲᶣ
ɳ
ɳ͡ɖ
ɳ͡ɖr̠
ɳ͡ɖʐ
ɳ͡ɦ
ɳ͡ʈ
ɳ͡ʈr̠̥
ɳ͡ʈʂ
ɳ͡ʈʂʰ
ɳʰ
ɴ
ɴ͡q
ɴ͡qʰ
ɴ͡ɢ
ɴː
ɵ
ɵː
ɵ̃
ɵ̞
ɵ̞ː
ɵ̞̆
ɶ̝
ɸ
ɸʲ
ɸʷ
ɸʷˠ
ɸ̃
ɸ̞
ɹ
ɹˤ
ɹ̝
ɹ̥
ɹ̩
ɹ̪
ɹ̪̥
ɹ̰ˤ
ɺ
ɺʲ
ɺː
ɺ̠
ɺ̠̰
ɺ̪
ɻ
ɻʲ
ɻʷ
ɻː
ɽ
ɽʰ
ɽ̃
ɽ̤
ɾ
ɾʰ
ɾʲ
ɾˀ
ɾˠ
ɾˤ
ɾ̤
ɾ̥
ɾ̥ʲ
ɾ̥ˠ
ɾ̪
ɾ̪ˠ
ɾ̰
ɾ͓
ʀ
ʁ
ʁʷ
ʁʷˤ
ʁː
ʁˤ
ʁ̞
ʁ̞ʷ
ʁ̞̰ʷ
ʂ
ʂʼ
ʂ͇
ʂ͉
ʃ
ʃ͡t
ʃʲ
ʃʷ
ʃʷː
ʃʼ
ʃː
ʃˠ
ʃ̺
ʃ͈
ʃ͈ʷ
ʃ͈ː
ʃ͉
ʄ
ʄ̥
ʈ
ʈ͡r̥̠
ʈ͡ɳ
ʈ͡ʂ
ʈ͡ʂʰ
ʈ͡ʂʼ
ʈʰ
ʈʰː
ʈʼ
ʈˀ
ʈː
ʈ͉
ʉ
ʉ͡i
ʉː
ʉ̃
ʉ̆
ʉ̟
ʊ
ʊ͡a
ʊ͡e
ʊ͡i
ʊ͡u
ʊ͡ɔ
ʊ͡ɪ
ʊː
ʊˤ
ʊ̃
ʊ̆
ʊ̈
ʊ̈ː
ʊ̙
ʊ̙ː
ʊ̤
ʊ̤ː
ʊ̯
ʋ
ʋː
ʌ
ʌ͡i
ʌ͡ə
ʌː
ʌ̃
ʌ̃ː
ʌ̤
ʌ̯
ʍ
ʎ
ʎʰ
ʎʼ
ʎ̟
ʎ̥
ʏ
ʐ
ʐ͇
ʑ
ʑᶣ
ʒ
ʒʲ
ʒʷ
ʒː
ʒˠ
ʒ̤
ʒ͈ː
ʔ
ʔʲ
ʔʷ
ʔː
ʔˤ
ʕ
ʕʷ
ʕː
ʕ̝
ʕ̰
ʕ̰ʷ
ʛ̥
ʝ
ʝ̟
ʟ
ʟ̥͓
ʡ
ʰk
ʰkʷ
ʰm
ʰn̪
ʰp
ʰq
ʰt
ʰts
ʰt̠ʃ
ʰɾ̪
ˀb
ˀd
ˀd̠ʒ
ˀd̪
ˀj
ˀj̥
ˀj̰
ˀkʷ
ˀl
ˀl̪̥
ˀm
ˀm̥
ˀn
ˀn̪̥
ˀo̯
ˀp
ˀq
ˀr
ˀt
ˀt̪
ˀt̪s
ˀt̪ɬ
ˀw
ˀw̥
ˀw̰
ˀŋ
ˀɖ
ˀɗ
ˀɟ
ˀɡ
ˀɲ
˥
˥˦
˥˧
˥˧˥
˥˧̰
˥˨˧
˥˩
˥̰
˦
˦ː
˦˥
˦˥˦
˦˥̰
˦˧
˦˨
˦˨˦
˦˩
˦↓˦
˧
˧˥
˧˥˨
˧˦
˧˦˧
˧˨
˧˨ˤ
˧˨˥
˧˨˧
˧˨̤
˧˩
˧˩̤
˧˩̰
˨
˨ː
˨˥
˨˥˩
˨˦
˨˦˧
˨˦˨
˨˧
˨˧˨
˨˧˩
˨˩
˨˩̤
˩
˩˥
˩˨
˩̰
β
βʲ
βʷ
β̞
β̞ʲ
β̞ː
β̞ˠ
θ
θ̰
χ
χʷ
χʷʼ
χʷː
χʷˤ
χʷˤː
χʼ
χː
χˤ
χˤː
χ͈
χ͈ʷ
ᴅ
ᴅ̪
ᴅ̪̰
ᶑ
ᶑː
↓
↓˦
↓˦˨
ⱱ
ⱱ̟
