*R
kǀ
kǀʰ
kǀʰʷ
kǀʷ
kǀ̪
kǀ͓
kǀ͓x
kǀ͓ʰ
kǀ͓ˀ
kǁ
kǁ͓
kǁ͓ʰ
kǁ͓ˀ
kǂ
kǂx
kǂʰ
kǂ͓ˡ
kǂ͓ˡx
kǂ͓ˡʰ
kǃ
kǃx
kǃʰ
kǃ̠
kǃ̠ʰ
kǃ̠ˀ
kǃ̪
kɬ
kʟ̥͓ʼ
kʰ
kʰʲ
kʰʷ
kʰː
kʲ
kʲʰ
kʲʼ
kʷ
kʷʰ
kʷʰː
kʷʼ
kʷʼː
kʷˀ
kʷː
kʼ
kʼʲ
kʼʷ
kʼː
kˀ
kː
kːʷ
kˤ
k̃
k̃ʷ
k̟
k̟ʰ
k̟ʲʰ
k̟ʲʼ
k̰
k̰ʷ
k̻
k͈
k͈ʷ
k͈ː
k͉
k͉ʷ
l
ld
lɦ
lʔ
lʰ
lʲ
lʷ
lʼ
lː
lˠ
lˤ
lˤː
l̃
l̠
l̠̤
l̤
l̥
l̥ʲ
l̥ˠ
l̩
l̪
l̪ʲ
l̪ː
l̪ˠ
l̪ˤ
l̪̤
l̪̥
l̪̩
l̪̰
l̰
l̻
l̻ː
l̻̰
l͈ː
l͉
lᶣ
m
mb
mbʲ
mbʷ
mp
mpʰ
mpʲ
mɦ
mʰ
mʲ
mʷ
mʷː
mʷˠ
mʼ
mˀ
mː
mːʷˠ
mˠ
mˤ
mˤː
m̃ʷ
m̤
m̥
m̥ʷ
m̩
m̰
m͈ː
m͉
n
nd
ndr
ndz
ndʑ
ndʲ
ndʷ
nd̪
nh
nl
nr
ns
nsʷ
nt
nts
ntʰ
ntʷ
nz
nzʷ
nɟ
nɡ
nɦ
nʰ
nʲ
nʷ
nʼ
nˀ
nː
nˠ
n̠
n̠d̠
n̠d̠ʒ
n̠d̠ʒʷ
n̠t̠
n̠t̠ʃ
n̠t̠ʃʰ
n̠ʃ
n̠ʃʷ
n̠ʒ
n̠̤
n̠̥
n̠̥t̠ʃ
n̤
n̥
n̥ʃ
n̥ʲ
n̥ˠ
n̩
n̪
n̪d̪
n̪d̪z̪
n̪d̪ʲ
n̪d̪ʷ
n̪s̪
n̪t̪
n̪t̪s̪
n̪t̪s̪ʰ
n̪t̪ʰ
n̪z̪
n̪ʲ
n̪ʷ
n̪ː
n̪̤
n̪̥
n̪̰
n̰
n̺
n̻
n̻ʲ
n̻ː
n͈ː
n͉
o
oa
oe
oi
oi̯
oj
ou
oũ
ou̙
ou̯
ow
oɛ
oɪ
oʊ
oˀ
oː
oːu
o˞
õ
õũ
õː
ŏ
ŏ̃
ö
o̘
o̘ː
o̙
o̝
o̞
o̞a
o̞aˤ
o̞e̞
o̞i
o̞iˤ
o̞u
o̞ː
o̞ˤ
o̞ˤː
õ̞
õ̞ã
õ̞ãˤ
õ̞ĩ
õ̞ĩˤ
õ̞ː
õ̞ˤ
o̞̟
o̞̥
o̞̰
õ̞̰
o̤
o̤i̤
o̤ː
o̯
o̰
õ̰
p
pf
pfʰ
pfʼ
pm
pʃʰ
pʃʼ
pʰ
pʰʷ
pʰː
pʲ
pʲʰ
pʷ
pʷˠ
pʷˠʰ
pʼ
pʼː
pˀ
pː
pːʷˠ
pˤ
p̃
p̰
p̻
p͈
p͈ː
p͉
p͉ʲ
q
qʰ
qʷ
qʷʰ
qʷʼ
qʷˀ
qʷˤʰ
qʷˤʼ
qʼ
qʼʷ
qˀ
qː
qˤʰ
qˤʼ
q̰
q̰ʷ
q͈
q͈ʷ
qχ
qχʷ
qχʷʼ
qχʷˤ
qχʷˤʼ
qχʼ
qχʼː
qχː
qχˤ
qχˤʼ
qχˤː
r
rʰ
rʲ
rʷ
rː
rˠ
rˤ
rˤː
r̃
r̝
r̠
r̠̙
r̥
r̩
r̪
r̪ʲ
r̪ˠ
r̪ˤ
r̰
r̺
r͈ː
s
st
sʰ
sʲ
sʷ
sʷː
sʼ
sʼː
sˀ
sː
sˠ
sˤ
sˤː
s̪
s̪ʲ
s̪ʷ
s̪ʷː
s̪ʼ
s̪ː
s̪ˤ
s̰
s̺
s̻
s̻ː
s̻θ
s͈
s͈ː
s͉
sᶣ
t
tç
tçʰ
tl
tn
tr
ts
tsʰ
tsʰʷ
tsʰː
tsʲ
tsʷ
tsʷʰ
tsʷʼ
tsʼ
tsʼː
tsˀ
tsː
tsˠ
ts̪
ts̰
ts͇
ts͇ʰ
tx
tz̤̥
tɕ
tɕʰ
tɕᶣ
tɬ
tɬʰ
tɬʷʰ
tɬʷʼ
tɬʼ
tɬʼː
tɬˀ
tɬː
tɬ̰
tʃ
tʰ
tʰʲ
tʰʷ
tʲ
tʲʰ
tʲʼ
tʷ
tʷʰ
tʼ
tʼː
tˀ
tː
tːs
tˠ
tˤ
tˤː
t̃
t̠
t̠ʃ
t̠ʃʰ
t̠ʃʰː
t̠ʃʲ
t̠ʃʲʰ
t̠ʃʷ
t̠ʃʷʰ
t̠ʃʷʼ
t̠ʃʼ
t̠ʃʼː
t̠ʃˀ
t̠ʃː
t̠ʃˠ
t̠ʃ̰
t̠ʃ̺ʰ
t̠ʃ͉
t̠ːʃ
t̠͈ʃ
t̠͈ʃʷ
t̠͈ʃː
t̪
t̪n̪
t̪s
t̪s̪
t̪s̪ʰ
t̪s̪ʲ
t̪s̪ʷʰ
t̪s̪ʷʼ
t̪s̪ʼ
t̪s̪ʼː
t̪s̪ˀ
t̪s̪ː
t̪ɬ̪
t̪ɬ̪ʰ
t̪ɬ̪ʷʰ
t̪ɬ̪ʷʼ
t̪ɬ̪ʼ
t̪ɬ̪ʼː
t̪ɬ̪ˀ
t̪ɬ̪ː
t̪ʰ
t̪ʰː
t̪ʲ
t̪ʲʰ
t̪ʷ
t̪ʷʰ
t̪ʼ
t̪ˀ
t̪ː
t̪ˤ
t̪θ
t̪θʰ
t̪θʼ
t̰
t̰s̰
t̺
t̺s̺
t̻
t̻n̻
t̻s̻
t̻s̻ʰ
t̻s̻ʼ
t̻ʰ
t̻ʰː
t̻ʲ
t̻ʼ
t̻ː
t͈
t͈s
t͈sʷ
t͈ː
t͉
t͉s
t͉ʲ
u
ua
uai
uaː
ue
uei
uẽ
ui
ui̯
uj
uo
uɔ
uə
uɛ
uɨ
uɪ
uˀ
uː
uˤ
uˤː
ũ
ũĩ
ũə
ũː
ŭ
ŭ̃
ü
u̘
u̙
u̞
u̞ː
ṳ
ṳa̤
ṳi̤
ṳə̤
ṳː
u̥
ṵ
ṵ̃
u͓
v
vʰ
vʲ
vʷ
vː
ṽ
v̤
v̩
w
wa
wai̯
we
wei̯
wi
wo
wə
wʰ
wʲ
wʷ
wˀ
wː
wˠ
wˤ
w̃
ẅ
w̞
w̥
w̰
x
xh
xʷ
xʷʼ
xʼ
xː
x̟ʲ
x̥
x͈
x͈ʷ
x͈ː
y
ye
yː
ỹ
y̆
z
zʲ
zʷ
zː
zˠ
zˤ
zˤː
z̃
z̞̩
z̞̩ˠ
z̞̩̃ˠ
z̥
z̩
z̪
z̪ʷ
z̪ː
z̪ˤ
z̻
z͇
z͇̪
z͈ː
æ
æe
æe̯
æẽ̯
æi
æu
æɪ
æː
æˤ
æ̃
æ̃ː
æ̤
æ̤ː
ð
ðˠ
ðˤ
ð̞
ð͉
ø
øː
ø̞
ø̞ː
ø̞ˤ
ø̠
ħ
ħʷ
ħː
ħ͈ː
ŋ
ŋb
ŋk
ŋkʰ
ŋkʲ
ŋkʷ
ŋm
ŋmkp
ŋmɡb
ŋmʲ
ŋmˤ
ŋǀ͓
ŋǁ͓
ŋǂ
ŋǂ͓ˡ
ŋǃ
ŋǃ̠
ŋɡ
ŋɡmb
ŋɡʲ
ŋɡʷ
ŋɡ̟
ŋɣ
ŋʲ
ŋʷ
ŋˀ
ŋː
ŋːʷ
ŋˑ
ŋˤ
ŋ̤
ŋ̤ǀ͓
ŋ̤ǂ
ŋ̤ǂ͓ˡ
ŋ̤ǃ
ŋ̥
ŋ̥ǀ͓xˀ
ŋ̥ǀ͓ʰ
ŋ̥ǀ͓ˀ
ŋ̥ǁ͓ˀ
ŋ̥ǂxˀ
ŋ̥ǂʰ
ŋ̥ǂˀ
ŋ̥ǂ͓ˡxˀ
ŋ̥ǂ͓ˡʰ
ŋ̥ǂ͓ˡˀ
ŋ̥ǃ
ŋ̥ǃˀ
ŋ̥ǃˠˀ
ŋ̥ǃ̠ˀ
ŋ̥ʲ
ŋ̥ʷ
ŋ̩
ŋ̩ʷ
ŋ̰
œ
œy
œː
œ̃
ɐ
ɐi
ɐu
ɐː
ɐˤ
ɐ̃
ɐ̆
ɐ̹̆
ɑ
ɑe
ɑi
ɑo
ɑu
ɑʊ
ɑː
ɑ̃
ɑ̃ĩ
ɑ̃õ
ɑ̃ː
ɒ
ɒː
ɒ̃
ɒ̃ː
ɒ̤
ɓ
ɓʲ
ɓː
ɓ̥
ɔ
ɔi
ɔo̯
ɔõ̯
ɔu
ɔə
ɔɛ
ɔɪ
ɔː
ɔˤ
ɔ̃
ɔ̃ĩ
ɔ̃ː
ɔ̃ˤː
ɔ̆
ɔ̘ː
ɔ̙
ɔ̙ː
ɔ̝
ɔ̝ː
ɔ̤
ɔ̤i̤
ɔ̤ː
ɔ̯
ɔ̰
ɕ
ɕʼ
ɕᶣ
ɖ
ɖr̠
ɖɦ
ɖʐ
ɖʰ
ɖː
ɖ̤
ɖ̤ː
ɖⁿ
ɗ
ɗʒ
ɗʰ
ɗʲ
ɗː
ɗ̠
ɗ̥
ɗ̪
ɘ
ɘː
ɘ̃
ə
əi
əu
əɨ̙
əɯ
əː
ə˞
ə̃
ə̃ː
ə̆
ə̘ː
ə̟
ə̯
ə̰
ə̰̃
ɛ
ɛi
ɛj
ɛu
ɛw
ɛə
ɛɪ
ɛɯ
ɛʊ
ɛː
ɛ̃
ɛ̃ə
ɛ̃ː
ɛ̆
ɛ̆̃
ɛ̘ː
ɛ̙
ɛ̙ː
ɛ̙ˠ
ɛ̝
ɛ̝ː
ɛ̤
ɛ̤ː
ɛ̯
ɛ̰
ɛ̰̃
ɜ
ɜɪ̯
ɜː
ɜ̃
ɞ
ɟ
ɟɦ
ɟʑ
ɟʝ
ɟʝː
ɟʰ
ɟʲ
ɟʷ
ɟː
ɟ̩̰
ɟ̰
ɠ
ɠɓ
ɡ
ɡb
ɡbm
ɡbʲ
ɡbʷ
ɡbː
ɡbˤ
ɡb̩
ɡv
ɡǀ
ɡǀ͓
ɡǀ͓x
ɡǁ͓
ɡǂ
ɡǂx
ɡǂ͓ˡ
ɡǂ͓ˡx
ɡǃ
ɡǃx
ɡǃ̠
ɡɣ
ɡɦ
ɡʰ
ɡʲ
ɡʷ
ɡʼ
ɡː
ɡˡ
ɡ̃
ɡ̟
ɡ̟ʲ
ɡ̤
ɡ̤ǀ͓
ɡ̤ǂ
ɡ̤ǂ͓ˡ
ɡ̤ǃ
ɡ̤ʷ
ɡ̤ː
ɡ̤̥
ɡ̩
ɡ̩ʷ
ɡ̰
ɡ̰ǀ͓x
ɡ̰ǂx
ɡ̰ǂ͓ˡx
ɡ̰ǃx
ɡ͈ː
ɡᶾ
ɡⁿ
ɢ
ɢʷ
ɢʷˤ
ɢː
ɢˤ
ɣ
ɣv
ɣʲ
ɣʷ
ɣː
ɣ̟ʲ
ɣ̥
ɣ̩
ɣ̰
ɣ͈ː
ɤ
ɤi
ɤː
ɤ̃
ɤ̞
ɤ̞ː
ɤ̞̃
ɤ̞̟̃
ɤ̤
ɤ̤i̤
ɤ̯
ɥ
ɥ̥
ɦ
ɧ
ɨ
ɨa
ɨi
ɨə
ɨː
ɨ˞
ɨ̃
ɨ̃ĩ
ɨ̃ː
ɨ̆
ɨ̞
ɨ̞̃
ɨ̥
ɪ
ɪa
ɪã
ɪi
ɪɛ
ɪʌ
ɪː
ɪˤ
ɪ̃
ɪ̃ː
ɪ̆
ɪ̈
ɪ̈ː
ɪ̙
ɪ̙ː
ɪ̙ˠ
ɪ̠
ɪ̯
ɫ
ɬ
ɬʟ̥͓
ɬʲ
ɬʲʼ
ɬʷ
ɬʷː
ɬʼ
ɬː
ɬ̪
ɬ̪ʲ
ɬ̪ʷ
ɬ̪ʷː
ɬ̪ʼ
ɬ̪ː
ɬ̻
ɭ
ɭː
ɭ̩
ɭ͓
ɮ
ɮʲ
ɮ̪
ɯ
ɯa
ɯi
ɯə
ɯː
ɯ̃
ɯ̃ə
ɯ̃ː
ɯ̆
ɯ̞
ɯ̞̆
ɯ̞̯
ɯ̤
ɯ̤i̤
ɯ̤ə̤
ɯ̰
ɯ͓
ɰ
ɰ̰
ɱ
ɱf
ɱfʷ
ɱv
ɱ̥f
ɲ
ɲc
ɲcɕ
ɲcʲ
ɲdʑ
ɲj
ɲɟ
ɲɟʑ
ɲɟʝ
ɲʄ
ɲʒ
ɲʰ
ɲʷ
ɲʼ
ɲː
ɲ̟
ɲ̟ʝ̟
ɲ̥
ɲ̩
ɲ̰
ɲᶣ
ɳ
ɳɖ
ɳɖr̠
ɳɖʐ
ɳɦ
ɳʈ
ɳʈr̠̥
ɳʈʂ
ɳʈʂʰ
ɳʰ
ɴ
ɴq
ɴqʰ
ɴɢ
ɴː
ɵ
ɵː
ɵ̃
ɵ̞
ɵ̞ː
ɵ̞̆
ɶ̝
ɸ
ɸʲ
ɸʷ
ɸʷˠ
ɸ̃
ɸ̞
ɹ
ɹˤ
ɹ̝
ɹ̥
ɹ̩
ɹ̪
ɹ̪̥
ɹ̰ˤ
ɺ
ɺʲ
ɺː
ɺ̠
ɺ̠̰
ɺ̪
ɻ
ɻʲ
ɻʷ
ɻː
ɽ
ɽʰ
ɽ̃
ɽ̤
ɾ
ɾʰ
ɾʲ
ɾˀ
ɾˠ
ɾˤ
ɾ̤
ɾ̥
ɾ̥ʲ
ɾ̥ˠ
ɾ̪
ɾ̪ˠ
ɾ̰
ɾ͓
ʀ
ʁ
ʁʷ
ʁʷˤ
ʁː
ʁˤ
ʁ̞
ʁ̞ʷ
ʁ̞̰ʷ
ʂ
ʂʼ
ʂ͇
ʂ͉
ʃ
ʃt
ʃʲ
ʃʷ
ʃʷː
ʃʼ
ʃː
ʃˠ
ʃ̺
ʃ͈
ʃ͈ʷ
ʃ͈ː
ʃ͉
ʄ
ʄ̥
ʈ
ʈr̥̠
ʈɳ
ʈʂ
ʈʂʰ
ʈʂʼ
ʈʰ
ʈʰː
ʈʼ
ʈˀ
ʈː
ʈ͉
ʉ
ʉi
ʉː
ʉ̃
ʉ̆
ʉ̟
ʊ
ʊa
ʊe
ʊi
ʊu
ʊɔ
ʊɪ
ʊː
ʊˤ
ʊ̃
ʊ̆
ʊ̈
ʊ̈ː
ʊ̙
ʊ̙ː
ʊ̤
ʊ̤ː
ʊ̯
ʋ
ʋː
ʌ
ʌi
ʌə
ʌː
ʌ̃
ʌ̃ː
ʌ̤
ʌ̯
ʍ
ʎ
ʎʰ
ʎʼ
ʎ̟
ʎ̥
ʏ
ʐ
ʐ͇
ʑ
ʑᶣ
ʒ
ʒʲ
ʒʷ
ʒː
ʒˠ
ʒ̤
ʒ͈ː
ʔ
ʔʲ
ʔʷ
ʔː
ʔˤ
ʕ
ʕʷ
ʕː
ʕ̝
ʕ̰
ʕ̰ʷ
ʛ̥
ʝ
ʝ̟
ʟ
ʟ̥͓
ʡ
ʰk
ʰkʷ
ʰm
ʰn̪
ʰp
ʰq
ʰt
ʰts
ʰt̠ʃ
ʰɾ̪
ˀb
ˀd
ˀd̠ʒ
ˀd̪
ˀj
ˀj̥
ˀj̰
ˀkʷ
ˀl
ˀl̪̥
ˀm
ˀm̥
ˀn
ˀn̪̥
ˀo̯
ˀp
ˀq
ˀr
ˀt
ˀt̪
ˀt̪s
ˀt̪ɬ
ˀw
ˀw̥
ˀw̰
ˀŋ
ˀɖ
ˀɗ
ˀɟ
ˀɡ
ˀɲ
˥
˥˦
˥˧
˥˧˥
˥˧̰
˥˨˧
˥˩
˥̰
˦
˦ː
˦˥
˦˥˦
˦˥̰
˦˧
˦˨
˦˨˦
˦˩
˦↓˦
˧
˧˥
˧˥˨
˧˦
˧˦˧
˧˨
˧˨ˤ
˧˨˥
˧˨˧
˧˨̤
˧˩
˧˩̤
˧˩̰
˨
˨ː
˨˥
˨˥˩
˨˦
˨˦˧
˨˦˨
˨˧
˨˧˨
˨˧˩
˨˩
˨˩̤
˩
˩˥
˩˨
˩̰
β
βʲ
βʷ
β̞
β̞ʲ
β̞ː
β̞ˠ
θ
θ̰
χ
χʷ
χʷʼ
χʷː
χʷˤ
χʷˤː
χʼ
χː
χˤ
χˤː
χ͈
χ͈ʷ
ᴅ
ᴅ̪
ᴅ̪̰
ᶑ
ᶑː
↓
↓˦
↓˦˨
ⱱ
ⱱ̟
