IPA Segment,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,tense,long
ɤ,+,+,-,+,0,-,-,0,+,-,-,-,-,-,-,-,-,+,-,+,-
ɵ,+,+,-,+,0,-,-,0,+,-,-,-,-,-,+,-,-,-,+,+,-
ʉ,+,+,-,+,0,-,-,0,+,-,-,-,-,-,+,+,-,-,+,+,-
a,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,+,+,-,+,-
e,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,-,-,+,-
i,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,-,-,+,-
o,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,+,+,-
u,+,+,-,+,-,-,-,0,+,-,-,-,-,-,+,+,-,+,+,+,-
y,+,+,-,+,-,-,-,0,+,-,-,-,-,-,+,+,-,-,+,+,-
æ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,+,-,-,+,-
ø,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,-,+,+,-
œ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,-,+,-,-
ɒ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,+,+,+,+,-
ɔ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,+,-,-
ə,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,-,-,-
ɘ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,-,-,-
ɵ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,+,-,-
ɞ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,+,+,-
ɜ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,-,+,-
ɛ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,-,-,-,-
ɨ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,+,-,+,-
ɪ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,-,-,-,-
ɯ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,+,-,-,-
ɶ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,+,-,+,+,-
ʊ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,+,+,-,-
ɐ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,-,+,-
ʌ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,-,+,-
ʏ,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,-,+,-,-
k͡pʼ,-,-,+,-,-,-,-,0,-,-,+,0,-,0,+,+,-,0,-,0,-
cʼ,-,-,+,-,-,-,-,0,-,-,+,-,-,0,-,+,-,-,-,0,-
kʼ,-,-,+,-,-,-,-,0,-,-,+,-,-,0,-,+,-,+,-,0,-
qʼ,-,-,+,-,-,-,-,0,-,-,+,-,-,0,-,-,-,+,-,0,-
ʈʼ,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,0,-
pʼ,-,-,+,-,-,-,-,0,-,-,+,+,-,0,+,-,-,-,-,0,-
p͡tʼ,-,-,+,-,-,-,-,0,-,-,+,+,+,-,+,-,-,-,-,0,-
tʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0,-
t̪ʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0,-
k͡xʼ,-,-,+,-,+,-,-,0,-,-,+,0,-,0,-,+,-,0,-,0,-
p͡ɸʼ,-,-,+,-,+,-,-,0,-,-,+,0,-,0,+,0,0,0,-,0,-
q͡χʼ,-,-,+,-,+,-,-,0,-,-,+,0,-,0,-,-,-,+,-,0,-
c͡çʼ,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,-,-,-,0,-
t͡ʃʼ,-,-,+,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,0,-
ʈ͡ʂʼ,-,-,+,-,+,-,-,+,-,-,+,-,+,-,-,0,0,0,-,0,-
p͡fʼ,-,-,+,-,+,-,-,0,-,-,+,+,-,0,+,-,-,-,-,0,-
t̪͡s̪ʼ,-,-,+,-,+,-,-,+,-,-,+,+,+,+,-,0,0,0,-,0,-
t̪͡ɬ̪ʼ,-,-,+,-,+,+,-,-,-,-,+,+,+,+,-,0,0,0,-,0,-
t̪͡θʼ,-,-,+,-,+,-,-,-,-,-,+,+,+,+,-,0,0,0,-,0,-
t͡sʼ,-,-,+,-,+,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-
t͡ɕʼ,-,-,+,-,+,-,-,+,-,-,+,+,+,+,-,+,-,-,-,0,-
t͡ɬʼ,-,-,+,-,+,+,-,-,-,-,+,+,+,-,-,0,0,0,-,0,-
xʼ,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,+,-,+,-,0,-
çʼ,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,+,-,-,-,0,-
ħʼ,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,-,+,+,-,0,-
ʂʼ,-,-,+,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,0,-
ʃʼ,-,-,+,+,-,-,-,+,-,-,+,-,+,+,-,-,-,-,-,0,-
χʼ,-,-,+,+,-,-,-,0,-,-,+,-,-,0,-,-,-,+,-,0,-
fʼ,-,-,+,+,-,-,-,0,-,-,+,+,-,0,+,-,-,-,-,0,-
sʼ,-,-,+,+,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,0,-
s̪ʼ,-,-,+,+,-,-,-,+,-,-,+,+,+,+,-,-,-,-,-,0,-
ɸʼ,-,-,+,+,-,-,-,0,-,-,+,+,-,0,+,-,-,-,-,0,-
θʼ,-,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0,-
ɧʼ,-,-,+,+,+,-,-,0,-,-,+,-,+,+,-,+,-,0,-,0,-
ɕʼ,-,-,+,+,+,-,-,+,-,-,+,+,+,+,-,+,-,-,-,0,-
ɬʼ,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,0,0,0,-,0,-
ɬ̪ʼ,-,-,+,+,+,+,-,-,-,-,+,+,+,+,-,0,0,0,-,0,-
ɱ̥,-,+,+,-,0,-,+,0,-,-,-,+,-,0,+,0,0,0,-,0,-
ŋ,-,+,+,-,-,-,+,0,-,-,-,-,-,0,-,+,-,+,-,0,-
ɳ̥,-,+,+,-,-,-,+,-,-,-,-,-,+,0,-,-,-,-,-,0,-
ɴ̥,-,+,+,-,-,-,+,0,-,-,-,-,-,0,-,-,-,+,-,0,-
m̥,-,+,+,-,-,-,+,0,-,-,-,+,-,0,+,-,-,-,-,0,-
n̥,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,0,-
n̪̥,-,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,0,-
ɲ̥,-,+,+,-,-,-,+,-,-,-,-,+,-,0,-,+,-,-,-,0,-
ɥ̥,-,+,-,+,0,-,-,0,-,-,-,0,-,0,+,+,-,-,+,+,-
ɰ̥,-,+,-,+,0,-,-,0,-,-,-,0,-,0,-,+,-,0,-,+,-
ʋ̥,-,+,-,+,0,-,-,0,-,-,-,+,-,0,+,0,0,0,-,0,-
ʀ̥,-,+,+,+,0,-,-,0,-,-,-,0,-,0,-,-,-,+,-,0,-
ʙ̥,-,+,+,+,0,-,-,0,-,-,-,+,-,0,+,0,0,0,-,0,-
ʟ̥,-,+,+,+,0,+,-,0,-,-,-,0,-,0,-,+,-,0,-,0,-
ɭ̥,-,+,+,+,0,+,-,-,-,-,-,-,+,-,-,0,0,0,-,0,-
ɽ̥,-,+,+,+,0,-,-,-,-,-,-,-,+,-,-,0,0,0,-,0,-
ʎ̥,-,+,+,+,0,+,-,0,-,-,-,-,+,+,-,+,-,-,-,0,-
r̥,-,+,+,+,0,-,-,-,-,-,-,+,+,-,-,0,0,0,-,0,-
r̪̥,-,+,+,+,0,-,-,-,-,-,-,+,+,+,-,0,0,0,-,0,-
ɫ̥,-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,-,-,+,-,0,-
ɺ̥,-,+,+,+,0,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,-
ɾ̥,-,+,+,+,0,-,-,-,-,-,-,+,+,-,-,0,0,0,-,0,-
j̥,-,+,-,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
w̥,-,+,-,+,-,-,-,0,-,-,-,-,-,0,+,+,-,+,+,0,-
ɹ̥,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,+,0,-
ɻ̥,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,-
l̥,-,+,+,+,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,0,-
l̪̥,-,+,+,+,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,0,-
ɑ̥,+,+,-,+,0,-,-,0,-,-,-,-,-,-,-,-,+,+,-,+,-
ɘ̥,+,+,-,+,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,+,-
ɞ̥,+,+,-,+,0,-,-,0,-,-,-,-,-,-,+,-,-,-,+,-,-
ɤ̥,+,+,-,+,0,-,-,0,-,-,-,-,-,-,-,-,-,+,-,+,-
ɵ̥,+,+,-,+,0,-,-,0,-,-,-,-,-,-,+,-,-,-,+,+,-
ʉ̥,+,+,-,+,0,-,-,0,-,-,-,-,-,-,+,+,-,-,+,+,-
ḁ,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,+,+,-,+,-
e̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,+,-
i̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,+,-,-,-,+,-
o̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-
u̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,+,+,-,+,+,+,-
y̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,+,+,-,-,+,+,-
æ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,+,-,-,+,-
ø̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,-,+,+,-
œ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,-,+,-,-
ɒ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,+,+,+,+,-
ɔ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,-,-
ə̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,-,-,-
ɘ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,-,-,-
ɵ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,-,-
ɞ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-
ɜ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,-,+,-
ɛ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-
ɨ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,+,-
ɪ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,+,-,-,-,-,-
ɯ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,-,-
ɶ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,+,-,+,+,-
ʊ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,+,-,-
ɐ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,-,+,-
ʌ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,-,+,-
ʏ̥,+,+,-,+,-,-,-,0,-,-,-,-,-,-,-,+,-,-,+,-,-
k͡pʰ,-,-,+,-,-,-,-,0,-,+,-,0,-,0,+,+,-,0,-,0,-
ɡ͡bʰ,-,-,+,-,-,-,-,0,+,+,-,0,-,0,+,+,-,0,-,0,-
cʰ,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,+,-,-,-,0,-
