IPA Segment,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,tense,long
ɻ̤̥,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,-
l̤̥,-,+,+,+,-,+,-,-,-,+,-,+,+,-,-,-,-,-,-,0,-
l̪̤̥,-,+,+,+,-,+,-,-,-,+,-,+,+,+,-,-,-,-,-,0,-
ɑ̤̥,+,+,-,+,0,-,-,0,-,+,-,-,-,-,-,-,+,+,-,+,-
ɘ̤̥,+,+,-,+,0,-,-,0,-,+,-,-,-,-,-,-,-,-,-,+,-
ɞ̤̥,+,+,-,+,0,-,-,0,-,+,-,-,-,-,+,-,-,-,+,-,-
ɤ̤̥,+,+,-,+,0,-,-,0,-,+,-,-,-,-,-,-,-,+,-,+,-
ɵ̤̥,+,+,-,+,0,-,-,0,-,+,-,-,-,-,+,-,-,-,+,+,-
ʉ̤̥,+,+,-,+,0,-,-,0,-,+,-,-,-,-,+,+,-,-,+,+,-
a̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,+,+,-,+,-
e̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,-,-,+,-
i̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,+,-,-,-,+,-
o̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,+,+,-
ṳ̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,+,+,-,+,+,+,-
y̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,+,+,-,-,+,+,-
æ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,+,-,-,+,-
ø̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,-,+,+,-
œ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,-,+,-,-
ɒ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,+,+,+,+,-
ɔ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,+,-,-
ə̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,-,-,-
ɘ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,-,-,-
ɵ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,+,-,-
ɞ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,+,+,-
ɜ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,-,+,-
ɛ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,-,-,-,-
ɨ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,+,-,+,-,+,-
ɪ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,+,-,-,-,-,-
ɯ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,+,-,+,-,-,-
ɶ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,+,-,+,+,-
ʊ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,+,-,+,+,-,-
ɐ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,-,+,-
ʌ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,-,+,-
ʏ̤̥,+,+,-,+,-,-,-,0,-,+,-,-,-,-,-,+,-,-,+,-,-
ɡ̤͡b̤ʷ,-,-,+,-,-,-,-,0,+,+,-,0,-,0,+,+,-,+,+,0,-
ɡ̤ʷ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,+,+,0,-
ɖ̤ʷ,-,-,+,-,-,-,-,0,+,+,-,-,+,-,-,+,-,+,+,0,-
ɟ̤ʷ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,+,+,0,-
ɠ̤ʷ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,+,-,+,+,0,-
ɢ̤ʷ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,+,+,0,-
ʄ̤ʷ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,+,-,+,+,0,-
ʛ̤ʷ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,+,-,+,+,0,-
b̤ʷ,-,-,+,-,-,-,-,0,+,+,-,+,-,0,+,+,-,+,+,0,-
b̤͡d̤ʷ,-,-,+,-,-,-,-,0,+,+,-,+,+,-,+,+,-,+,+,0,-
d̤ʷ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,-,+,+,0,-
d̪̤ʷ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+,-,+,+,0,-
ɓ̤ʷ,-,-,+,-,-,-,-,0,+,+,+,+,-,0,+,+,-,+,+,0,-
ɗ̤ʷ,-,-,+,-,-,-,-,-,+,+,+,+,+,-,-,+,-,+,+,0,-
b̤͡β̤ʷ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,+,+,0,+,+,0,-
ɡ̤͡ɣ̤ʷ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,-,+,+,0,-
ɢ̤͡ʁ̤ʷ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,-,+,+,0,-
d̤͡ʒ̤ʷ,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,+,-,+,+,0,-
ɖ̤͡ʐ̤ʷ,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,+,0,+,+,0,-
ɟ̤͡ʝ̤ʷ,-,-,+,-,+,-,-,0,+,+,-,-,+,+,-,+,-,+,+,0,-
b̤͡v̤ʷ,-,-,+,-,+,-,-,0,+,+,-,+,-,0,+,+,-,+,+,0,-
d̪̤͡z̪̤ʷ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,0,+,+,0,-
d̪̤͡ð̤ʷ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,0,+,+,0,-
d̪̤͡ɮ̪̤ʷ,-,-,+,-,+,+,-,-,+,+,-,+,+,+,-,+,0,+,+,0,-
d̤͡z̤ʷ,-,-,+,-,+,-,-,+,+,+,-,+,+,-,-,+,-,+,+,0,-
d̤͡ɮ̤ʷ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,+,0,+,+,0,-
d̤͡ʑ̤ʷ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,-,+,+,0,-
ɣ̤ʷ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,-,+,+,0,-
ʁ̤ʷ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,-,+,+,0,-
ʐ̤ʷ,-,-,+,+,-,-,-,+,+,+,-,-,+,-,-,+,-,+,+,0,-
ʒ̤ʷ,-,-,+,+,-,-,-,+,+,+,-,-,+,+,-,+,-,+,+,0,-
ʕ̤ʷ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,+,+,+,0,-
ʝ̤ʷ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,-,+,+,0,-
v̤ʷ,-,-,+,+,-,-,-,0,+,+,-,+,-,0,+,+,-,+,+,0,-
z̤ʷ,-,-,+,+,-,-,-,+,+,+,-,+,+,-,-,+,-,+,+,0,-
z̪̤ʷ,-,-,+,+,-,-,-,+,+,+,-,+,+,+,-,+,-,+,+,0,-
ð̤ʷ,-,-,+,+,-,-,-,-,+,+,-,+,+,+,-,+,-,+,+,0,-
β̤ʷ,-,-,+,+,-,-,-,0,+,+,-,+,-,0,+,+,-,+,+,0,-
ɮ̤ʷ,-,-,+,+,+,+,-,-,+,+,-,+,+,-,-,+,0,+,+,0,-
ʑ̤ʷ,-,-,+,+,+,-,-,+,+,+,-,+,+,+,-,+,-,+,+,0,-
ɱ̤ʷ,-,+,+,-,0,-,+,0,+,+,-,+,-,0,+,+,0,+,+,0,-
ŋʷ,-,+,+,-,-,-,+,0,+,+,-,-,-,0,-,+,-,+,+,0,-
ɳ̤ʷ,-,+,+,-,-,-,+,-,+,+,-,-,+,0,-,+,-,+,+,0,-
ɴ̤ʷ,-,+,+,-,-,-,+,0,+,+,-,-,-,0,-,+,-,+,+,0,-
m̤ʷ,-,+,+,-,-,-,+,0,+,+,-,+,-,0,+,+,-,+,+,0,-
n̤ʷ,-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,+,-,+,+,0,-
n̪̤ʷ,-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,+,-,+,+,0,-
ɲ̤ʷ,-,+,+,-,-,-,+,-,+,+,-,+,-,0,-,+,-,+,+,0,-
ɥ̤ʷ,-,+,-,+,0,-,-,0,+,+,-,0,-,0,+,+,-,+,+,+,-
ɰ̤ʷ,-,+,-,+,0,-,-,0,+,+,-,0,-,0,-,+,-,+,+,+,-
ʋ̤ʷ,-,+,-,+,0,-,-,0,+,+,-,+,-,0,+,+,0,+,+,0,-
ʀ̤ʷ,-,+,+,+,0,-,-,0,+,+,-,0,-,0,-,+,-,+,+,0,-
ʙ̤ʷ,-,+,+,+,0,-,-,0,+,+,-,+,-,0,+,+,0,+,+,0,-
ʟ̤ʷ,-,+,+,+,0,+,-,0,+,+,-,0,-,0,-,+,-,+,+,0,-
ɭ̤ʷ,-,+,+,+,0,+,-,-,+,+,-,-,+,-,-,+,0,+,+,0,-
ɽ̤ʷ,-,+,+,+,0,-,-,-,+,+,-,-,+,-,-,+,0,+,+,0,-
ʎ̤ʷ,-,+,+,+,0,+,-,0,+,+,-,-,+,+,-,+,-,+,+,0,-
r̤ʷ,-,+,+,+,0,-,-,-,+,+,-,+,+,-,-,+,0,+,+,0,-
r̪̤ʷ,-,+,+,+,0,-,-,-,+,+,-,+,+,+,-,+,0,+,+,0,-
ɫ̤ʷ,-,+,+,+,0,+,-,-,+,+,-,+,+,-,-,+,-,+,+,0,-
ɺ̤ʷ,-,+,+,+,0,+,-,-,+,+,-,+,+,-,-,+,0,+,+,0,-
ɾ̤ʷ,-,+,+,+,0,-,-,-,+,+,-,+,+,-,-,+,0,+,+,0,-
j̤ʷ,-,+,-,+,-,-,-,0,+,+,-,-,-,0,-,+,-,+,+,0,-
w̤ʷ,-,+,-,+,-,-,-,0,+,+,-,-,-,0,+,+,-,+,+,0,-
ɹ̤ʷ,-,+,-,+,-,-,-,-,+,+,-,-,+,-,-,+,-,+,+,0,-
ɻ̤ʷ,-,+,-,+,-,-,-,-,+,+,-,-,+,-,-,+,-,+,+,0,-
l̤ʷ,-,+,+,+,-,+,-,-,+,+,-,+,+,-,-,+,-,+,+,0,-
l̪̤ʷ,-,+,+,+,-,+,-,-,+,+,-,+,+,+,-,+,-,+,+,0,-
ɡ̤͡b̤ʲ,-,-,+,-,-,-,-,0,+,+,-,0,-,0,+,+,-,-,-,0,-
ɡ̤ʲ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,-,-,0,-
ɖ̤ʲ,-,-,+,-,-,-,-,0,+,+,-,-,+,-,-,+,-,-,-,0,-
ɟ̤ʲ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,-,-,0,-
ɠ̤ʲ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,+,-,-,-,0,-
ɢ̤ʲ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,-,-,0,-
ʄ̤ʲ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,+,-,-,-,0,-
ʛ̤ʲ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,+,-,-,-,0,-
b̤ʲ,-,-,+,-,-,-,-,0,+,+,-,+,-,0,+,+,-,-,-,0,-
b̤͡d̤ʲ,-,-,+,-,-,-,-,0,+,+,-,+,+,-,+,+,-,-,-,0,-
d̤ʲ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,-,-,-,0,-
d̪̤ʲ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+,-,-,-,0,-
ɓ̤ʲ,-,-,+,-,-,-,-,0,+,+,+,+,-,0,+,+,-,-,-,0,-
ɗ̤ʲ,-,-,+,-,-,-,-,-,+,+,+,+,+,-,-,+,-,-,-,0,-
b̤͡β̤ʲ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,+,+,0,-,-,0,-
ɡ̤͡ɣ̤ʲ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,-,-,-,0,-
ɢ̤͡ʁ̤ʲ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,-,-,-,0,-
d̤͡ʒ̤ʲ,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,+,-,-,-,0,-
ɖ̤͡ʐ̤ʲ,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,+,0,-,-,0,-
ɟ̤͡ʝ̤ʲ,-,-,+,-,+,-,-,0,+,+,-,-,+,+,-,+,-,-,-,0,-
b̤͡v̤ʲ,-,-,+,-,+,-,-,0,+,+,-,+,-,0,+,+,-,-,-,0,-
d̪̤͡z̪̤ʲ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,0,-,-,0,-
d̪̤͡ð̤ʲ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,0,-,-,0,-
d̪̤͡ɮ̪̤ʲ,-,-,+,-,+,+,-,-,+,+,-,+,+,+,-,+,0,-,-,0,-
d̤͡z̤ʲ,-,-,+,-,+,-,-,+,+,+,-,+,+,-,-,+,-,-,-,0,-
d̤͡ɮ̤ʲ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,+,0,-,-,0,-
d̤͡ʑ̤ʲ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,-,-,-,0,-
ɣ̤ʲ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,-,-,-,0,-
ʁ̤ʲ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,-,-,-,0,-
ʐ̤ʲ,-,-,+,+,-,-,-,+,+,+,-,-,+,-,-,+,-,-,-,0,-
ʒ̤ʲ,-,-,+,+,-,-,-,+,+,+,-,-,+,+,-,+,-,-,-,0,-
ʕ̤ʲ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,+,-,-,0,-
ʝ̤ʲ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,-,-,-,0,-
v̤ʲ,-,-,+,+,-,-,-,0,+,+,-,+,-,0,+,+,-,-,-,0,-
z̤ʲ,-,-,+,+,-,-,-,+,+,+,-,+,+,-,-,+,-,-,-,0,-
z̪̤ʲ,-,-,+,+,-,-,-,+,+,+,-,+,+,+,-,+,-,-,-,0,-
ð̤ʲ,-,-,+,+,-,-,-,-,+,+,-,+,+,+,-,+,-,-,-,0,-
β̤ʲ,-,-,+,+,-,-,-,0,+,+,-,+,-,0,+,+,-,-,-,0,-
ɮ̤ʲ,-,-,+,+,+,+,-,-,+,+,-,+,+,-,-,+,0,-,-,0,-
ʑ̤ʲ,-,-,+,+,+,-,-,+,+,+,-,+,+,+,-,+,-,-,-,0,-
ɱ̤ʲ,-,+,+,-,0,-,+,0,+,+,-,+,-,0,+,+,0,-,-,0,-
ŋʲ,-,+,+,-,-,-,+,0,+,+,-,-,-,0,-,+,-,-,-,0,-
ɳ̤ʲ,-,+,+,-,-,-,+,-,+,+,-,-,+,0,-,+,-,-,-,0,-
ɴ̤ʲ,-,+,+,-,-,-,+,0,+,+,-,-,-,0,-,+,-,-,-,0,-
m̤ʲ,-,+,+,-,-,-,+,0,+,+,-,+,-,0,+,+,-,-,-,0,-
n̤ʲ,-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,+,-,-,-,0,-
n̪̤ʲ,-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,+,-,-,-,0,-
ɲ̤ʲ,-,+,+,-,-,-,+,-,+,+,-,+,-,0,-,+,-,-,-,0,-
ɥ̤ʲ,-,+,-,+,0,-,-,0,+,+,-,0,-,0,+,+,-,-,+,+,-
ɰ̤ʲ,-,+,-,+,0,-,-,0,+,+,-,0,-,0,-,+,-,-,-,+,-
ʋ̤ʲ,-,+,-,+,0,-,-,0,+,+,-,+,-,0,+,+,0,-,-,0,-
ʀ̤ʲ,-,+,+,+,0,-,-,0,+,+,-,0,-,0,-,+,-,-,-,0,-
ʙ̤ʲ,-,+,+,+,0,-,-,0,+,+,-,+,-,0,+,+,0,-,-,0,-
ʟ̤ʲ,-,+,+,+,0,+,-,0,+,+,-,0,-,0,-,+,-,-,-,0,-
ɭ̤ʲ,-,+,+,+,0,+,-,-,+,+,-,-,+,-,-,+,0,-,-,0,-
ɽ̤ʲ,-,+,+,+,0,-,-,-,+,+,-,-,+,-,-,+,0,-,-,0,-
ʎ̤ʲ,-,+,+,+,0,+,-,0,+,+,-,-,+,+,-,+,-,-,-,0,-
r̤ʲ,-,+,+,+,0,-,-,-,+,+,-,+,+,-,-,+,0,-,-,0,-
r̪̤ʲ,-,+,+,+,0,-,-,-,+,+,-,+,+,+,-,+,0,-,-,0,-
ɫ̤ʲ,-,+,+,+,0,+,-,-,+,+,-,+,+,-,-,+,-,-,-,0,-
ɺ̤ʲ,-,+,+,+,0,+,-,-,+,+,-,+,+,-,-,+,0,-,-,0,-
ɾ̤ʲ,-,+,+,+,0,-,-,-,+,+,-,+,+,-,-,+,0,-,-,0,-
j̤ʲ,-,+,-,+,-,-,-,0,+,+,-,-,-,0,-,+,-,-,-,0,-
w̤ʲ,-,+,-,+,-,-,-,0,+,+,-,-,-,0,+,+,-,-,+,0,-
ɹ̤ʲ,-,+,-,+,-,-,-,-,+,+,-,-,+,-,-,+,-,-,+,0,-
ɻ̤ʲ,-,+,-,+,-,-,-,-,+,+,-,-,+,-,-,+,-,-,-,0,-
l̤ʲ,-,+,+,+,-,+,-,-,+,+,-,+,+,-,-,+,-,-,-,0,-
l̪̤ʲ,-,+,+,+,-,+,-,-,+,+,-,+,+,+,-,+,-,-,-,0,-
ɡ̤͡b̤ˠ,-,-,+,-,-,-,-,0,+,+,-,0,-,0,+,+,-,+,-,0,-
ɡ̤ˠ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,+,-,0,-
ɖ̤ˠ,-,-,+,-,-,-,-,0,+,+,-,-,+,-,-,+,-,+,-,0,-
ɟ̤ˠ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,+,-,0,-
ɠ̤ˠ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,+,-,+,-,0,-
ɢ̤ˠ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,-,+,-,0,-
ʄ̤ˠ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,+,-,+,-,0,-
ʛ̤ˠ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,+,-,+,-,0,-
b̤ˠ,-,-,+,-,-,-,-,0,+,+,-,+,-,0,+,+,-,+,-,0,-
b̤͡d̤ˠ,-,-,+,-,-,-,-,0,+,+,-,+,+,-,+,+,-,+,-,0,-
d̤ˠ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,-,+,-,0,-
d̪̤ˠ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+,-,+,-,0,-
ɓ̤ˠ,-,-,+,-,-,-,-,0,+,+,+,+,-,0,+,+,-,+,-,0,-
ɗ̤ˠ,-,-,+,-,-,-,-,-,+,+,+,+,+,-,-,+,-,+,-,0,-
b̤͡β̤ˠ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,+,+,0,+,-,0,-
ɡ̤͡ɣ̤ˠ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,-,+,-,0,-
ɢ̤͡ʁ̤ˠ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,-,+,-,0,-
d̤͡ʒ̤ˠ,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,+,-,+,-,0,-
ɖ̤͡ʐ̤ˠ,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,+,0,+,-,0,-
ɟ̤͡ʝ̤ˠ,-,-,+,-,+,-,-,0,+,+,-,-,+,+,-,+,-,+,-,0,-
b̤͡v̤ˠ,-,-,+,-,+,-,-,0,+,+,-,+,-,0,+,+,-,+,-,0,-
d̪̤͡z̪̤ˠ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,0,+,-,0,-
d̪̤͡ð̤ˠ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,0,+,-,0,-
d̪̤͡ɮ̪̤ˠ,-,-,+,-,+,+,-,-,+,+,-,+,+,+,-,+,0,+,-,0,-
d̤͡z̤ˠ,-,-,+,-,+,-,-,+,+,+,-,+,+,-,-,+,-,+,-,0,-
d̤͡ɮ̤ˠ,-,-,+,-,+,+,-,-,+,+,-,+,+,-,-,+,0,+,-,0,-
d̤͡ʑ̤ˠ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,+,-,+,-,0,-
ɣ̤ˠ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,-,+,-,0,-
ʁ̤ˠ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,-,+,-,0,-
ʐ̤ˠ,-,-,+,+,-,-,-,+,+,+,-,-,+,-,-,+,-,+,-,0,-
ʒ̤ˠ,-,-,+,+,-,-,-,+,+,+,-,-,+,+,-,+,-,+,-,0,-
ʕ̤ˠ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,+,+,-,0,-
ʝ̤ˠ,-,-,+,+,-,-,-,0,+,+,-,-,-,0,-,+,-,+,-,0,-
v̤ˠ,-,-,+,+,-,-,-,0,+,+,-,+,-,0,+,+,-,+,-,0,-
z̤ˠ,-,-,+,+,-,-,-,+,+,+,-,+,+,-,-,+,-,+,-,0,-
z̪̤ˠ,-,-,+,+,-,-,-,+,+,+,-,+,+,+,-,+,-,+,-,0,-
ð̤ˠ,-,-,+,+,-,-,-,-,+,+,-,+,+,+,-,+,-,+,-,0,-
β̤ˠ,-,-,+,+,-,-,-,0,+,+,-,+,-,0,+,+,-,+,-,0,-
ɮ̤ˠ,-,-,+,+,+,+,-,-,+,+,-,+,+,-,-,+,0,+,-,0,-
ʑ̤ˠ,-,-,+,+,+,-,-,+,+,+,-,+,+,+,-,+,-,+,-,0,-
ɱ̤ˠ,-,+,+,-,0,-,+,0,+,+,-,+,-,0,+,+,0,+,-,0,-
ɳ̤ˠ,-,+,+,-,-,-,+,-,+,+,-,-,+,0,-,+,-,+,-,0,-
ɴ̤ˠ,-,+,+,-,-,-,+,0,+,+,-,-,-,0,-,+,-,+,-,0,-
m̤ˠ,-,+,+,-,-,-,+,0,+,+,-,+,-,0,+,+,-,+,-,0,-
n̤ˠ,-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,+,-,+,-,0,-
n̪̤ˠ,-,+,+,-,-,-,+,-,+,+,-,+,+,+,-,+,-,+,-,0,-
ɲ̤ˠ,-,+,+,-,-,-,+,-,+,+,-,+,-,0,-,+,-,+,-,0,-
ɥ̤ˠ,-,+,-,+,0,-,-,0,+,+,-,0,-,0,+,+,-,+,+,+,-
ɰ̤ˠ,-,+,-,+,0,-,-,0,+,+,-,0,-,0,-,+,-,+,-,+,-
ʋ̤ˠ,-,+,-,+,0,-,-,0,+,+,-,+,-,0,+,+,0,+,-,0,-
ʀ̤ˠ,-,+,+,+,0,-,-,0,+,+,-,0,-,0,-,+,-,+,-,0,-
ʙ̤ˠ,-,+,+,+,0,-,-,0,+,+,-,+,-,0,+,+,0,+,-,0,-
ʟ̤ˠ,-,+,+,+,0,+,-,0,+,+,-,0,-,0,-,+,-,+,-,0,-
ɭ̤ˠ,-,+,+,+,0,+,-,-,+,+,-,-,+,-,-,+,0,+,-,0,-
ɽ̤ˠ,-,+,+,+,0,-,-,-,+,+,-,-,+,-,-,+,0,+,-,0,-
ʎ̤ˠ,-,+,+,+,0,+,-,0,+,+,-,-,+,+,-,+,-,+,-,0,-
r̤ˠ,-,+,+,+,0,-,-,-,+,+,-,+,+,-,-,+,0,+,-,0,-
r̪̤ˠ,-,+,+,+,0,-,-,-,+,+,-,+,+,+,-,+,0,+,-,0,-
ɫ̤ˠ,-,+,+,+,0,+,-,-,+,+,-,+,+,-,-,+,-,+,-,0,-
ɺ̤ˠ,-,+,+,+,0,+,-,-,+,+,-,+,+,-,-,+,0,+,-,0,-
ɾ̤ˠ,-,+,+,+,0,-,-,-,+,+,-,+,+,-,-,+,0,+,-,0,-
j̤ˠ,-,+,-,+,-,-,-,0,+,+,-,-,-,0,-,+,-,+,-,0,-
w̤ˠ,-,+,-,+,-,-,-,0,+,+,-,-,-,0,+,+,-,+,+,0,-
ɹ̤ˠ,-,+,-,+,-,-,-,-,+,+,-,-,+,-,-,+,-,+,+,0,-
ɻ̤ˠ,-,+,-,+,-,-,-,-,+,+,-,-,+,-,-,+,-,+,-,0,-
l̤ˠ,-,+,+,+,-,+,-,-,+,+,-,+,+,-,-,+,-,+,-,0,-
l̪̤ˠ,-,+,+,+,-,+,-,-,+,+,-,+,+,+,-,+,-,+,-,0,-
ɡ̤͡b̤ˤ,-,-,+,-,-,-,-,0,+,+,-,0,-,0,+,+,+,+,-,0,-
ɡ̤ˤ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,+,+,-,0,-
ɖ̤ˤ,-,-,+,-,-,-,-,0,+,+,-,-,+,-,-,-,+,+,-,0,-
ɟ̤ˤ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,+,+,+,-,0,-
ɠ̤ˤ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,+,+,+,-,0,-
ɢ̤ˤ,-,-,+,-,-,-,-,0,+,+,-,-,-,0,-,-,+,+,-,0,-
ʄ̤ˤ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,+,+,+,-,0,-
ʛ̤ˤ,-,-,+,-,-,-,-,0,+,+,+,-,-,0,-,-,+,+,-,0,-
b̤ˤ,-,-,+,-,-,-,-,0,+,+,-,+,-,0,+,-,+,+,-,0,-
b̤͡d̤ˤ,-,-,+,-,-,-,-,0,+,+,-,+,+,-,+,-,+,+,-,0,-
d̤ˤ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,-,+,+,-,0,-
d̪̤ˤ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,-,+,+,-,0,-
ɓ̤ˤ,-,-,+,-,-,-,-,0,+,+,+,+,-,0,+,-,+,+,-,0,-
ɗ̤ˤ,-,-,+,-,-,-,-,-,+,+,+,+,+,-,-,-,+,+,-,0,-
b̤͡β̤ˤ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,+,0,+,+,-,0,-
ɡ̤͡ɣ̤ˤ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,+,+,+,-,0,-
ɢ̤͡ʁ̤ˤ,-,-,+,-,+,-,-,0,+,+,-,0,-,0,-,-,+,+,-,0,-
d̤͡ʒ̤ˤ,-,-,+,-,+,-,-,+,+,+,-,-,+,+,-,-,+,+,-,0,-
ɖ̤͡ʐ̤ˤ,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,0,+,+,-,0,-
ɟ̤͡ʝ̤ˤ,-,-,+,-,+,-,-,0,+,+,-,-,+,+,-,+,+,+,-,0,-
b̤͡v̤ˤ,-,-,+,-,+,-,-,0,+,+,-,+,-,0,+,-,+,+,-,0,-
d̪̤͡z̪̤ˤ,-,-,+,-,+,-,-,+,+,+,-,+,+,+,-,0,+,+,-,0,-
d̪̤͡ð̤ˤ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,0,+,+,-,0,-
d̪̤͡ɮ̪̤ˤ,-,-,+,-,+,+,-,-,+,+,-,+,+,+,-,0,+,+,-,0,-
