segment,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
ɣ̤,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,-
t̰s̰,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,+,-,-,-,-
t̪ɬ̪ʷʰ,0,-,-,-,-,+,-,-,+,-,-,-,-,+,+,+,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ɑ̈,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0
ṳə̤,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"+,-",-,-,"+,-","+,-",-,-,+,-,+,-,0,-,-,0
ɣ̰,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,+,-,-,-,-
t̪ɬ̪ʷʼ,0,-,-,-,-,+,-,-,+,-,-,-,-,+,+,+,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
rʰ,0,-,-,-,-,+,+,+,0,+,-,+,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
rʼ,0,-,-,-,-,+,+,+,0,+,-,+,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,+,-,+,-,-
kǃ̠xʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,-,-,0,0,0,-,-,+,-,-,-,-,+
ɟ̩̰,0,-,+,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,+,-,-,-,-
ɯ̃ə,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,"+,-",-,-,"+,-","+,-",-,-,+,-,-,-,0,-,-,0
rˀ,0,-,-,-,-,+,+,+,0,+,-,+,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
pʃʼ,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,"+,-",-,-,"-,+",-,+,+,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
pʃʰ,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,"+,-",-,-,"-,+",-,+,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
bvʷ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,+,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
bʷː,0,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ĩə,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,"+,-",-,"+,-",-,"+,-",-,-,+,-,-,-,0,-,-,0
ɡbɾ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ʰs̪,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ntɾ,0,-,-,-,-,+,"+,-,+","-,+",-,"-,+","-,+",-,"+,-,-",-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,"+,-,+",-,-,-,-,-,-,-
ɑ̃ɔ̃,0,-,+,-,-,-,+,+,0,+,-,-,+,-,"-,+",+,-,-,0,0,0,+,-,"+,-",-,+,-,-,-,+,-,-,-,0,-,-,0
ˀʍ,0,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,0,0,-,-,-,+,-,-,-,-
l̪̩,0,-,+,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
hv,0,-,-,-,-,"-,+",-,+,+,-,-,-,-,-,"-,+",-,+,-,0,0,0,-,0,0,0,0,0,0,0,"-,+",-,"+,-",-,-,-,-,-
ɡǃxʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,+,-,-,+,-,+,-,+
sʲʷ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,0,+,+,-,+,+,+,-,+,+,0,0,0,-,-,-,-,-,-,-,-
d̪ɦ,0,-,-,-,-,"+,-",-,"-,+","-,+",-,-,-,-,-,-,0,0,"+,-",+,+,-,-,0,0,0,0,0,0,0,+,-,"-,+",-,-,-,-,-
ŋ̤ʰ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,-
ɶ̝,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,+,+,-,0,-,-,+,-,-,-,0,-,-,0
ɖʐʷ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,0,+,-,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
e̥ː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,-,-,+,-,0,-,-,0
õ̞ˤ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,-,-,-,+,+,+,-,+,-,-,-,0,-,-,0
ṳa,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"+,-","-,+",-,"+,-",+,-,-,+,-,+,-,0,-,-,0
ŋkx,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
ɛ̃ə,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,-,"+,-",-,-,-,-,+,-,-,-,0,-,-,0
l̪ˤ,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,+,-,-,0,0,0,0,0,+,-,+,-,-,-,-,-,-,-
n̠̤d̠̤ʒ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
ʉi,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,+,-,"-,+",-,+,-,-,+,-,-,-,0,-,-,0
ʁ̞̰ʷ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,+,-,-,-,-
ɡm,0,-,-,-,-,+,"-,+",-,-,-,-,-,"-,+",-,"-,+",-,-,-,0,0,0,"+,-",+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
χʷˤː,0,-,-,-,+,+,-,+,+,-,-,-,-,-,+,+,0,-,0,0,0,+,-,-,-,+,0,+,-,-,-,-,-,-,-,-,-
t̪ʃ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɪ̯,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,-,-,-,+,-,-,-,0,-,-,0
nzɾ,0,-,-,-,-,+,"+,-,+","-,+,+",+,"-,+","-,+",-,"+,-,-",-,-,0,0,+,+,-,"-,+,-",-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
mv,0,-,-,-,-,+,"+,-","-,+",+,-,-,-,"+,-",-,+,-,"-,+",-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɴqʰ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,"+,-",-,+,-,-,-,-,-
t̪ʙ,0,-,-,-,-,+,"-,+","-,+",-,"-,+",-,"-,+",-,-,"-,+",-,-,"+,-",+,+,-,-,0,0,0,0,0,0,0,"-,+",-,-,-,-,-,-,-
˥˨,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d̪̚,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ʔ̬,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,+,-,-,-,-
tɬ̰,0,-,-,-,-,+,-,-,+,-,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,+,-,-,-,-
t̪s̪ɦ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɣˀ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,+,-,-,-,-
ɔ̰ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,+,0,-,-,0
ɔ̰ː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,+,0,-,-,0
ɣː,0,-,-,-,+,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ŋ̥ǂ,0,-,-,-,-,+,-,-,-,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,-,-,0,0,0,-,-,+,-,-,-,-,+
ŋ̥ǁ,0,-,-,-,-,+,-,-,-,-,-,-,+,-,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,-,-,+,-,-,-,-,+
ŋ̥ǀ,0,-,-,-,-,+,-,-,-,-,-,-,+,-,-,0,0,+,+,+,-,+,+,-,-,-,0,0,0,-,-,+,-,-,-,-,+
ɣ̥,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,+,-,-,-,-,-
oe̞,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,-,-,"-,+","+,-",+,-,-,+,-,-,-,0,-,-,0
ʰɾ̪,0,-,-,-,-,+,+,+,0,+,+,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
r̰,0,-,-,-,-,+,+,+,0,+,-,+,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
ɡb̩,0,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
r̺,0,-,-,-,-,+,+,+,0,+,-,+,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ŋ̤ǂ͓ˡ,0,-,-,-,-,+,-,-,+,-,-,-,+,"-,+",-,0,0,+,-,+,-,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,+
ɛ̯,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,-,-,-,+,-,-,-,0,-,-,0
uʰ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,+,-,0,-,-,0
m̪,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,+,+,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ˀn̪̥,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ʉ̟,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,-,-,0
ʉ̞,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,+,-,-,+,-,-,-,0,-,-,0
m͉,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ŋ̥ǀ͓xˀ,0,-,-,-,-,+,-,-,+,-,-,-,+,-,-,0,0,+,+,+,-,+,+,-,-,-,0,0,0,-,-,-,+,-,-,-,+
ʉ̆,0,-,+,+,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,+,-,-,+,-,-,-,0,-,-,0
ɪ̠,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,-,+,0,+,+,-,+,-,-,-,-,+,-,-,-,0,-,-,0
ɐu,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0
ɔ̤i̤,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"-,+",-,"-,+","+,-","-,+",-,-,+,-,+,-,0,-,-,0
ŋ̥ʘ,0,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,+,-,-,-,-,+
hᶣ,0,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,0,-,0,0,0,+,+,-,+,+,0,0,0,-,-,+,-,-,-,-,-
ɐi,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"-,+","+,-","-,+",-,+,-,-,+,-,-,-,0,-,-,0
ˀl̪̥,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ɡbr,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
x͈ː,0,-,-,-,+,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,+,-,-,-
d̠ʒxʼ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,-,+,-,+,-,-
ŋhᶣ,0,-,-,-,-,"+,-","+,-","-,+",+,-,-,-,"+,-",-,+,+,0,-,0,0,0,+,+,-,+,+,0,0,0,"+,-",-,"-,+",-,-,-,-,-
ŋʲʷ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,+,0,-,0,0,0,+,+,-,+,+,0,0,0,+,-,-,-,-,-,-,-
x͈ʷ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,+,-,-,-
n̠t̠ʃɾ,0,-,-,-,-,+,"+,-,+","-,+",+,"-,+","-,+",-,"+,-",-,-,0,0,+,"-,+","+,-","+,-",-,0,0,0,0,0,0,0,"-,+",-,-,-,-,-,-,-
ɡʘkxʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,+,-,+,-,+
ɱð,0,-,-,-,-,+,"+,-","-,+",+,-,-,-,"+,-",-,"+,-",-,+,"-,+",+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɲ̤ʰ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,+,-,-,-,-,-
d̪x,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,-,0,0,"+,-",+,+,-,"-,+",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,-
ɫ,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-
d̪ⁿ,0,-,-,-,-,+,-,-,-,-,-,-,"-,+",-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
uã,0,-,+,-,-,-,+,+,0,+,-,-,+,-,"+,-",+,-,-,0,0,0,+,"+,-","-,+",-,"+,-",+,-,-,+,-,-,-,0,-,-,0
ɡ̤ǁ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,+
ʕ̰ʷ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,0,-,0,0,0,+,-,+,-,+,0,0,0,+,-,-,+,-,-,-,-
ŋkɾ,0,-,-,-,-,+,"+,-,+","-,+",-,"-,+","-,+",-,"+,-,-",-,-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-,+",-,-,-,-,-,-,-
t̻ː,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ts͇ʰ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
t̻ʲ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,+,+,-,+,+,0,0,0,-,-,-,-,-,-,-,-
t̻ʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
kʰʲ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,+,0,0,0,-,-,+,-,-,-,-,-
mɦ,0,-,-,-,-,"+,-","+,-","-,+",+,-,-,-,"+,-",-,"+,-",-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,"-,+",-,-,-,-,-
au̯,0,-,-,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0
ɡʘqʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,+
mɾ,0,-,-,-,-,+,+,"-,+",0,"-,+","-,+",-,"+,-",-,"+,-",-,-,"-,+",+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
dz̪,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
a̰ʰ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,+,-,0,-,-,0
ŋ̤ǀ,0,-,-,-,-,+,-,-,-,-,-,-,+,-,-,0,0,+,+,+,-,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,+
ŋ̤ǁ,0,-,-,-,-,+,-,-,-,-,-,-,+,-,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,+
ŋ̤ǂ,0,-,-,-,-,+,-,-,-,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,+
t̪x,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,-,0,0,"+,-",+,+,-,"-,+",+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
ãĩ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,+,-,-,+,-,-,-,0,-,-,0
ɤ̃ː,0,-,+,-,+,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,-,0,-,-,0
ɡʘx,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,+
mˤ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,+,-,+,-,-,-,-,-,-,-
mˠ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,+,+,-,-,+,0,0,0,+,-,-,-,-,-,-,-
a̰ː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,+,0,-,-,0
a̰ˑ,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,+,0,-,-,0
ᶑʼː,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,+,-,-,+,-,+,+,-
ṳa̤,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"+,-","-,+",-,"+,-",+,-,-,+,-,+,-,0,-,-,0
kʘxʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,+,-,+,-,+
ʈɹ̠̥,0,-,-,-,-,"+,-","-,+","-,+",-,"-,+",-,-,-,-,-,0,0,+,-,+,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
*R̪̥,0,-,-,-,-,+,+,+,0,+,0,0,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ɪʌ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"+,-",-,"+,-","-,+",-,-,-,+,-,-,-,0,-,-,0
ɘ̃ː,0,-,+,-,+,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,-,-,-,+,-,-,+,-,-,-,0,-,-,0
dⁿ,0,-,-,-,-,+,-,-,-,-,-,-,"-,+",-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ʒ̺,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɪˠ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,+,-,-,-,+,-,-,-,0,-,-,0
o̞̟,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,-,0,-,-,0
˨ː,+,0,0,-,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nθ,0,-,-,-,-,+,"+,-","-,+",+,-,-,-,"+,-",-,-,0,0,+,+,"-,+",-,-,0,0,0,0,0,0,0,"+,-",-,-,-,-,-,-,-
n͉,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ˀj̥,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,-,-,+,-,-,-,-,-
ʎʼ,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,+,-,+,-,-
õ̞ũ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,"-,+",-,-,+,+,-,-,+,-,-,-,0,-,-,0
ʎʰ,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,+,-,-,-,-,-
n̠t̠ʃʷ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,+,+,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
l̥ː,0,-,-,-,+,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ɡǃkxʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,+,-,-,+,-,+,-,+
əɨ̙,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+",-,-,-,"-,+",+,-,+,-,-,-,0,-,-,0
ɛ̙ː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,-,+,-,+,-,-,-,0,-,-,0
ʕʼ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,+,0,0,0,+,-,-,+,-,+,-,-
we,0,-,"-,+",-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"+,-",-,"-,+","+,-",+,-,-,+,-,-,-,-,-,-,-
wo,0,-,"-,+",-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,"+,-",-,-,+,+,-,-,+,-,-,-,-,-,-,-
ɨ̘,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,+,-,+,+,-,-,-,0,-,-,0
wi,0,-,"-,+",-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,+,-,"-,+","+,-",+,-,-,+,-,-,-,-,-,-,-
ɪɛ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"+,-",-,+,-,-,-,-,+,-,-,-,0,-,-,0
ɨ̞̃,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,+,-,-,-,+,-,-,+,-,-,-,0,-,-,0
ŋ̥ǂxˀ,0,-,-,-,-,+,-,-,-,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,-,-,0,0,0,-,-,-,+,-,-,-,+
l͈ː,0,-,-,-,+,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,+,-,-,-
ɳɖr̠,0,-,-,-,-,+,"+,-,+","-,+",-,"-,+",-,"-,+","+,-,-",-,-,0,0,+,-,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ṵʰ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,+,-,0,-,-,0
ʎ̥,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-
t̠ʃʱ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
mbɾ,0,-,-,-,-,+,"+,-,+","-,+",-,"-,+","-,+",-,"+,-,-",-,"+,-",-,-,"-,+",+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
iæ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"+,-","-,+",+,-,+,-,-,+,-,-,-,0,-,-,0
nˤ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,-,-,-,0,0,0,0,0,+,-,+,-,-,-,-,-,-,-
mpfʼ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
